ID,Cinferior,Cbajo,Cmedio,Calto,Minferior,Mbajo,Mmedio,Malto,Tinferior,Tbajo,Tmedio,Talto
BOG,5,40,101,309,9,79,219,241,15,171,179,61
ANT,63,180,116,105,38,105,96,90,125,156,84,29
VAL,35,93,72,81,51,140,118,132,62,113,55,19
CUN,19,80,81,103,11,90,114,50,40,84,33,7
ATL,31,48,22,37,72,62,48,48,106,61,32,15
SAN,7,27,51,61,10,40,78,79,30,51,24,20
BOL,31,31,8,25,90,67,28,30,77,59,14,11
NAR,8,15,21,16,31,50,63,56,21,33,26,10
COR,18,32,18,11,35,54,16,9,41,38,13,3
TOL,8,19,30,26,28,77,57,28,29,40,21,7
CAU,36,56,27,8,24,53,32,24,18,27,13,11
NSA,6,39,20,23,11,40,37,31,31,20,20,7
BOY,6,48,74,40,4,31,52,25,14,39,21,8
MAG,31,19,4,6,58,53,14,12,58,37,6,2
HUI,7,37,42,29,1,16,27,12,24,30,14,10
CAL,11,37,26,26,8,38,54,21,10,18,8,2
CES,0,16,8,11,9,50,23,15,36,37,19,3
RIS,2,14,14,20,0,25,30,24,12,28,14,5
MET,4,12,15,6,7,45,24,19,22,21,10,7
SUC,9,6,5,3,29,51,19,9,30,28,10,5
LAG,7,6,7,8,12,30,6,7,24,10,3,1
QUI,0,6,7,12,1,17,31,18,10,20,7,1
CHO,23,9,6,1,26,10,3,1,20,5,0,0
CAQ,8,10,5,1,2,21,11,7,14,9,5,1
PUT,1,7,10,10,4,6,7,4,4,5,2,0
CAS,3,12,10,6,2,16,16,4,8,13,1,1
ARA,3,1,5,2,3,7,12,7,7,5,3,1
GUV,0,2,2,0,1,4,1,2,0,2,1,0
PO1,6,16,7,2,2,7,3,3,3,4,2,0
