"","Color","DA","EA","pH","AcidezT","Cafeina","AcidosCl","D2325","D2272","Intensidad","Aroma","Cuerpo","Acidez","Amargo","Astringencia","Impresion"
"ExCl",298,385.1,25,5.02,11.7,1.4,2.74,-0.101,-0.057,7.72,7,6.84,5.02,5.04,5.36,7.46
"C40M",361,481.3,41,5.11,6.5,0.81,1.62,-0.058,-0.038,6.02,5.42,6.22,4.34,4.6,4.78,6.24
"C40C",321,422.6,40,5.12,5.8,0.8,1.61,-0.057,-0.038,6.48,5.98,6.44,4.58,4.82,4.8,6.12
"C20M",335,444.3,33,5.05,8.8,1.1,2.2,-0.079,-0.045,6.82,6.44,6.7,4.62,4.38,4.8,6.04
"C20C",314,368.7,32,5.04,9.3,1.1,2.19,-0.08,-0.046,7.08,6.2,6.72,4.78,4.94,4.9,6.22
"ExOs",186,346.6,28,5.31,8.7,1.35,2.3,-0.049,-0.064,7.66,7.42,6.98,5.12,5.18,5.22,7.4
"O40M",278,422.6,43,5.45,4.9,0.8,1.35,-0.025,-0.037,6.18,5.82,6.26,4,4.46,4.96,5.9
"O40C",238,403,42,5.33,5.2,0.79,1.36,-0.026,-0.036,6.84,6.56,6.82,4.3,4.96,4.84,6.94
"O20M",226,368.7,36,5.33,6.7,1.1,1.83,-0.035,-0.051,6.66,7.06,6.7,4.64,5,4.9,6.9
"O20C",210,368.7,35,5.31,7,1.05,1.83,-0.04,-0.056,7,6.7,7.04,4.6,4.88,5.18,7.16
"Com1",221,413.3,27,5.18,9.3,1.3,2.06,-0.053,-0.065,6.48,5.46,7.06,4.6,5.26,5.16,5.68
"Com2",264,400.9,23,5.2,11.5,1.35,2.84,-0.096,-0.051,6.66,6.26,7.36,4.44,5.64,5.24,6
